TimeStamp,M_E,RSE,WHE,B1E,B2E,BME,CDE,CWE,DNE,DWE,EBE,EQE,FGE,FRE,GRE,HPE,HTE,OFE,OUE,TVE,UTE,WOE
1333263600,1608,94,1514,1,9,393,0,0,25,0,0,40,49,110,1,710,4,23,0,38,10,0
1333267200,1219,93,1126,0,9,7,0,0,10,0,0,40,46,110,1,771,5,17,0,39,9,0
1333270800,1276,92,1184,0,8,7,0,0,2,0,0,41,25,111,1,829,5,28,0,39,10,0
1333274400,1257,93,1164,1,8,7,0,0,1,0,0,40,60,110,2,793,5,18,0,38,10,0
1333278000,1420,99,1321,0,8,7,0,0,1,0,0,41,39,111,1,976,6,18,0,39,9,0
1333281600,1453,91,1362,1,8,7,0,0,1,0,0,40,21,111,1,1024,5,17,0,39,10,0
1333285200,1336,91,1245,0,8,7,0,0,1,0,0,40,58,110,1,891,5,18,0,38,10,0
1333288800,1329,86,1243,0,8,40,0,0,1,0,0,40,40,109,1,842,5,18,0,39,10,0
1333292400,2053,403,1650,0,9,309,0,0,0,0,0,40,20,108,1,763,11,17,0,39,10,0
1333296000,1256,333,923,1,8,21,0,0,0,0,0,39,71,106,1,368,6,17,0,38,9,0
1333299600,1338,316,1022,0,8,7,0,0,0,0,0,39,40,107,1,681,5,17,0,39,9,0
1333303200,1235,431,804,1,8,7,0,0,0,0,0,40,20,106,2,500,5,18,0,38,10,0
1333306800,1501,1100,401,0,8,7,0,0,0,0,0,39,64,104,1,38,9,17,0,39,9,0
1333310400,865,363,502,0,45,7,0,0,0,0,0,40,63,105,1,117,9,21,0,39,10,0
1333314000,1604,303,1301,1,8,242,0,72,0,0,0,40,40,106,1,553,8,24,0,38,10,0
1333317600,1442,428,1014,0,60,392,0,153,0,0,0,39,20,105,1,38,5,18,0,39,10,0
1333321200,1177,315,862,0,41,223,0,0,0,0,0,41,68,104,1,37,13,88,0,66,9,0
1333324800,1700,418,1282,1,8,25,0,0,0,0,0,40,33,107,2,734,5,36,0,182,9,0
1333328400,1270,415,855,0,8,61,14,0,0,103,0,41,62,104,18,35,17,80,0,41,10,0
1333332000,4790,547,4243,8,30,227,2567,0,0,327,0,40,38,104,1,36,16,172,0,39,10,0
1333335600,2201,427,1774,19,35,312,0,0,18,375,0,39,27,104,1,35,17,74,0,38,11,0
1333339200,2224,374,1850,4,59,394,1,0,17,0,0,40,55,106,2,656,8,18,0,165,9,0
1333342800,1259,272,987,0,8,335,0,0,6,0,0,40,40,105,1,29,4,17,0,256,10,0
1333346400,1466,93,1373,0,31,198,1,0,4,0,0,40,21,107,1,711,5,17,0,98,11,0
1333350000,1163,93,1070,1,8,13,0,0,5,0,0,41,62,107,1,708,6,18,0,38,10,0
1333353600,1211,92,1119,0,7,7,1,0,0,0,0,40,40,107,1,772,5,17,0,39,10,0
